"Parcelle";"Traitement";"ID_Zone";"Individu";"Total_poids_graines_avnettoyage";"P.graines";"Poids_graine_1";"Poids_graine_2";"Poids_graines_3";"T.graines";"PMG";"Hauteur";"Diametre"
14499;"PM";"SACHET";6;67,4;56,7;58,14;73,78;65,77;852;65,8966666666667;140;200
14499;"PM + Abeille";"CAGE";1;47,5;38,3;65,49;64,38;72,24;590;67,37;130;172
14499;"PM + Abeille";"CAGE";2;44,4;37,1;59,28;66,78;69,73;533;65,2633333333333;127;150
14499;"PM + Abeille";"CAGE";3;26,9;20,8;48,64;37,09;40,52;449;42,0833333333333;140;98
14499;"PM + Pollen";"SACHET";3;716;63,1;90,03;82,47;66,15;859;79,55;150;194
14499;"PM + Pollen";"SACHET";6;56,3;47,2;82,97;93,94;88,42;692;88,4433333333333;135;155
14499;"NF";"CAGE";1;97,4;91,2;92,17;92,57;89,05;1170;91,2633333333333;132;230
14499;"NF";"CAGE";2;42,7;35,8;68,1;59,27;71,35;574;66,24;141;135
14499;"NF";"CAGE";3;88,2;75,9;85,97;78,58;100,2;919;88,25;128;233
14499;"NF1";"SACHET";1;24,1;14,7;36,34;38,24;36,1;337;36,8933333333333;125;114
14499;"NF1";"SACHET";2;104,6;93,8;106,6;104,44;89,07;1115;100,036666666667;119;242
14499;"NF1";"SACHET";3;90,8;83,7;90,53;81,96;71,81;1115;81,4333333333333;135;204
14499;"NF1";"SACHET";4;85,2;73;78,97;89,49;84,33;931;84,2633333333333;118;232
14499;"NF1";"SACHET";5;50,1;38,2;40,69;42,15;59,74;775;47,5266666666667;138;147
14499;"NF1";"SACHET";6;85,2;76,6;89,12;87,23;91,27;966;89,2066666666667;135;199
14499;"NF2";"SACHET";1;38,6;23,2;44,23;45,65;44,25;527;44,71;145;152
14499;"NF2";"SACHET";3;67,4;55,2;78,87;79,34;87,85;687;82,02;149;205
14499;"NF2";"SACHET";6;78,6;72,9;75,7;69,35;74,2;1147;73,0833333333333;150;189
15339;"GM";"CAGE";1;89,7;77,9;74,5;81,7;89,7;971;81,9666666666667;123;199
15339;"GM";"CAGE";2;46,1;40,1;51,3;33,2;39,7;981;41,4;145;150
15339;"GM";"CAGE";3;81,6;74,9;44,8;45,8;74,9;1255;55,1666666666667;148;204
15339;"GM";"SACHET";1;55,8;48,5;45,9;44;33,5;1068;41,1333333333333;142;154
15339;"GM";"SACHET";2;47,3;41;63,9;58;53,8;931;58,5666666666667;133;167
15339;"GM";"SACHET";3;9,8;8,3;27;36,8;25,8;324;29,8666666666667;129;154
15339;"GM";"SACHET";4;111,9;103,3;94,7;94,4;93,3;1328;94,1333333333333;123;196
15339;"GM";"SACHET";4;51,8;45,9;47,7;47,1;44,9;1070;46,5666666666667;123;196
15339;"GM";"SACHET";5;85,8;78;74,5;71,9;71,6;1306;72,6666666666667;137;192
15339;"GM";"SACHET";6;71,8;66,8;56,8;55,7;59,5;1120;57,3333333333333;136;177
15339;"PM";"CAGE";1;81,2;67,6;69,7;68,6;60,9;1316;66,4;140;210
15339;"PM";"CAGE";2;63,4;56,3;48,7;38,6;44,4;1166;43,9;144;159
15339;"PM";"CAGE";3;47,1;41,8;44,4;45,5;39,8;1017;43,2333333333333;144;175
15339;"PM";"SACHET";1;85,1;73,9;70;85,6;74;1102;76,5333333333333;135;200
15339;"PM";"SACHET";2;57,9;51,3;44,6;66,8;46,7;1040;52,7;140;171
15339;"PM";"SACHET";3;90,5;81,3;84,2;68;85,2;1058;79,1333333333333;125;220
15339;"PM";"SACHET";4;69,8;62,4;70,4;57,5;71,1;1094;66,3333333333333;129;175
15339;"PM";"SACHET";5;90,1;83,6;67,5;84,9;88,9;1208;80,4333333333333;137;214
15339;"PM";"SACHET";6;52,6;46,3;52,6;63,2;40,5;960;52,1;142;176
15339;"PM + Abeille";"CAGE";1;30,5;25,8;57;51,8;49,8;612;52,8666666666667;153;135
15339;"PM + Abeille";"CAGE";2;57;50,1;56,3;60,8;53,3;1032;56,8;144;190
15339;"PM + Abeille";"CAGE";3;79,8;70,9;73,5;67,1;66,8;1036;69,1333333333333;139;185
15339;"PM + Pollen";"SACHET";3;58,9;50,6;66,5;41,3;42,8;927;50,2;126;172
15339;"PM + Pollen";"SACHET";6;65,2;58,5;74,3;69,3;63,5;1056;69,0333333333333;135;169
15339;"NF";"CAGE";1;40,2;35,7;35,5;38,7;35,3;910;36,5;144;140
15339;"NF";"CAGE";2;73,3;67,9;64,3;79;57,4;1071;66,9;138;175
15339;"NF";"CAGE";3;75,5;66,9;85,9;83,9;61;990;76,9333333333333;140;178
15339;"NF1";"SACHET";1;55;47,9;59,2;44,7;55,3;956;53,0666666666667;148;168
15339;"NF1";"SACHET";2;67,8;61,9;61,8;76,2;69,3;999;69,1;139;191
15339;"NF1";"SACHET";3;93,3;84,9;74,3;37,1;76;1225;62,4666666666667;120;213
15339;"NF1";"SACHET";4;56,1;50,1;49,8;54,4;66,9;1047;57,0333333333333;124;187
15339;"NF1";"SACHET";5;61,1;56,3;60;62,4;60,6;1037;61;144;180
15339;"NF1";"SACHET";6;76;71,1;54,9;68,7;48;1270;57,2;168;194
15339;"NF2";"SACHET";1;52,1;44,7;63,4;54,1;37,1;963;51,5333333333333;143;169
15339;"NF2";"SACHET";3;61,8;57;66,1;75,5;74;1055;71,8666666666667;129;165
15339;"NF2";"SACHET";6;69,4;62,9;67,4;63;65;1163;65,1333333333333;144;200
16659;"MICRO";"MICRO";1;40;35,4;31,8;29,1;11,7;1573;24,2;NA;NA
17019;"GM";"CAGE";1;36,7;32,7;44,7;52,4;35,5;863;44,2;102;140
17019;"GM";"CAGE";2;33,7;31,1;21,9;19,5;18,4;1022;19,9333333333333;100;122
17019;"GM";"CAGE";3;35,4;32,1;55,2;59,4;35,8;785;50,1333333333333;107;123
17019;"GM";"SACHET";1;16,5;12,6;12,5;30,9;28,5;631;23,9666666666667;109;154
17019;"GM";"SACHET";1;62;57,5;55,6;55,9;52,4;1033;54,6333333333333;109;154
17019;"GM";"SACHET";2;52;48,2;33;58,4;38,3;1275;43,2333333333333;119;155
17019;"GM";"SACHET";4;31,7;26;41,8;57,2;50,6;645;49,8666666666667;85;130
17019;"GM";"SACHET";5;24,3;17,7;22,9;16,6;26,9;806;22,1333333333333;81;109
17019;"GM";"SACHET";6;30,1;25,9;21,1;35,3;20,9;765;25,7666666666667;99;131
17019;"PM";"CAGE";1;37,9;34,5;34,6;20,9;25,3;1048;26,9333333333333;95;141
17019;"PM";"CAGE";2;25,7;19,8;45;24,8;32;773;33,9333333333333;92;121
17019;"PM";"CAGE";3;21,4;17,9;25,2;20,1;20,2;673;21,8333333333333;89;115
17019;"PM";"SACHET";1;27,6;23,9;42,3;31,5;34,3;623;36,0333333333333;105;129
17019;"PM";"SACHET";2;28,9;24,9;48,8;45;22;686;38,6;109;128
17019;"PM";"SACHET";3;35,9;31,9;34,8;18,4;31,9;1074;28,3666666666667;103;146
17019;"PM";"SACHET";4;27,9;23,4;19,2;27,1;36,2;910;27,5;83;110
17019;"PM";"SACHET";5;21,8;17,4;19,4;35,5;39,3;790;31,4;84;108
17019;"PM";"SACHET";6;26,1;21,7;17,3;17,2;31,3;865;21,9333333333333;89;124
17019;"PM + Abeille";"CAGE";1;28,9;23,9;54,4;54,3;24,9;694;44,5333333333333;91;111
17019;"PM + Abeille";"CAGE";2;14,1;10,7;16;18,7;17;511;17,2333333333333;96;85
17019;"PM + Abeille";"CAGE";3;19,4;15,3;21,4;38,4;32,8;565;30,8666666666667;91;91
17019;"PM + Pollen";"SACHET";3;18,7;13,1;24,7;13,3;13,6;648;17,2;104;86
17019;"PM + Pollen";"SACHET";6;23,2;19,1;24,3;21,2;16,7;636;20,7333333333333;99;99
17019;"NF";"CAGE";1;21,2;14,3;44,2;49,4;28,4;529;40,6666666666667;83;105
17019;"NF";"CAGE";2;30,3;26,3;19,8;38,4;38,4;999;32,2;91;127
17019;"NF";"CAGE";3;43,7;20;38,9;12;25,6;1260;25,5;93;139
17019;"NF1";"SACHET";1;72,4;66,5;74,2;72,2;62,5;1043;69,6333333333333;118;154
17019;"NF1";"SACHET";1;43,7;38,9;45,6;27,4;44,8;929;39,2666666666667;118;154
17019;"NF1";"SACHET";1;24,2;20,3;39,8;30,7;33,3;866;34,6;118;154
17019;"NF1";"SACHET";2;48,8;43,5;45,4;41,7;47,4;1202;44,8333333333333;108;161
17019;"NF1";"SACHET";3;30,8;28,6;27,9;21,6;30,8;970;26,7666666666667;102;130
17019;"NF1";"SACHET";4;26,9;23,1;40,8;26,5;36,6;919;34,6333333333333;82;125
17019;"NF1";"SACHET";6;36,7;32,8;39,5;49,7;21;917;36,7333333333333;98;130
17019;"NF2";"SACHET";3;34,5;30,6;30,8;45,6;37,4;1019;37,9333333333333;98;142
17019;"NF2";"SACHET";6;34,7;21,8;38,3;41,4;42,8;726;40,8333333333333;94;100
