id,day,hour,temperature,precipitation,wind_speed,cloudcover
2187,194,12,25.569999428466,0,1.36014947708377,60
2187,194,06,25.569999428466,0,1.93132164592139,30
10106,194,18,25.9499994199723,0,1.84391003034374,77
10106,194,12,25.9499994199723,0,2.02237200287483,60
10106,194,06,25.9499994199723,0,1.48660485671374,30
10486,194,18,25.9499994199723,0,1.84391003034374,77
10486,194,12,25.9499994199723,0,2.02237200287483,60
10486,194,06,25.9499994199723,0,1.48660485671374,30
10626,194,18,25.9499994199723,0,1.84391003034374,77
10626,194,12,25.9499994199723,0,2.02237200287483,60
10626,194,06,25.9499994199723,0,1.48660485671374,30
14497,194,18,25.7099994253367,0,1.84391003034374,77
14497,194,12,25.7099994253367,0,2.02237200287483,60
14497,194,06,25.7099994253367,0,1.48660485671374,30
12,194,18,25.819999422878,0,5.00899317228542,77
12,194,12,25.819999422878,0,1.36014947708377,60
12,194,06,25.819999422878,0,1.93132164592139,30
12473,194,18,25.7799994237721,0,1.84391003034374,77
12473,194,12,25.7799994237721,0,2.02237200287483,60
12473,194,06,25.7799994237721,0,1.48660485671374,30
12446,194,18,25.7799994237721,0,1.84391003034374,77
12446,194,12,25.7799994237721,0,2.02237200287483,60
12446,194,06,25.7799994237721,0,1.48660485671374,30
13253,194,18,25.7099994253367,0,1.84391003034374,77
13253,194,12,25.7099994253367,0,2.02237200287483,60
13253,194,06,25.7099994253367,0,1.48660485671374,30
7507,194,18,25.6899994257838,0,1.84391003034374,77
7507,194,12,25.6899994257838,0,2.02237200287483,60
7507,194,06,25.6899994257838,0,1.48660485671374,30
5867,194,18,25.7099994253367,0,1.84391003034374,77
5867,194,12,25.7099994253367,0,2.02237200287483,60
5867,194,06,25.7099994253367,0,1.48660485671374,30
7029,194,18,25.6899994257838,0,1.84391003034374,77
7029,194,12,25.6899994257838,0,2.02237200287483,60
7029,194,06,25.6899994257838,0,1.48660485671374,30
3253,194,18,25.6899994257838,0,5.00899317228542,77
3253,194,12,25.6899994257838,0,1.36014947708377,60
3253,194,06,25.6899994257838,0,1.93132164592139,30
2939,194,18,25.6899994257838,0,5.00899317228542,77
2939,194,12,25.6899994257838,0,1.36014947708377,60
2939,194,06,25.6899994257838,0,1.93132164592139,30
376,194,18,25.9099994208664,0,5.00899317228542,77
376,194,12,25.9099994208664,0,1.36014947708377,60
376,194,06,25.9099994208664,0,1.93132164592139,30
2230,194,18,25.569999428466,0,5.00899317228542,77
2230,194,12,25.569999428466,0,1.36014947708377,60
2230,194,06,25.569999428466,0,1.93132164592139,30
5572,194,18,25.7099994253367,0,1.84391003034374,77
5572,194,12,25.7099994253367,0,2.02237200287483,60
5572,194,06,25.7099994253367,0,1.48660485671374,30
8690,194,18,25.7799994237721,0,1.84391003034374,77
8690,194,12,25.7799994237721,0,2.02237200287483,60
8690,194,06,25.7799994237721,0,1.48660485671374,30
4566,194,18,25.7099994253367,0,1.84391003034374,77
4566,194,12,25.7099994253367,0,2.02237200287483,60
4566,194,06,25.7099994253367,0,1.48660485671374,30
6223,194,18,25.7099994253367,0,1.84391003034374,77
6223,194,12,25.7099994253367,0,2.02237200287483,60
6223,194,06,25.7099994253367,0,1.48660485671374,30
13138,194,18,25.7099994253367,0,1.84391003034374,77
13138,194,12,25.7099994253367,0,2.02237200287483,60
13138,194,06,25.7099994253367,0,1.48660485671374,30
15339,194,18,25.4699994307011,0,1.84391003034374,77
15339,194,12,25.4699994307011,0,2.02237200287483,60
15339,194,06,25.4699994307011,0,1.48660485671374,30
17019,194,18,25.9499994199723,0,1.84391003034374,77
17019,194,12,25.9499994199723,0,2.02237200287483,60
17019,194,06,25.9499994199723,0,1.48660485671374,30
9523,195,18,27.2799993902445,0,5.29244883773119,22
9523,195,12,27.2799993902445,0,3.7855001122708,26
9523,195,06,27.2799993902445,0,5.28015151297764,43
3107,195,18,27.2799993902445,0,5.71401954669416,22
3107,195,12,27.2799993902445,0,1.9235398878116,26
3107,195,06,27.2799993902445,0,2.91547594742265,43
7413,195,18,27.289999390021,0,5.29244883773119,22
7413,195,12,27.289999390021,0,3.7855001122708,26
7413,195,06,27.289999390021,0,5.28015151297764,43
5595,195,18,27.2799993902445,0,5.29244883773119,22
5595,195,12,27.2799993902445,0,3.7855001122708,26
5595,195,06,27.2799993902445,0,5.28015151297764,43
116,195,18,27.5099993851036,0,5.71401954669416,22
116,195,12,27.5099993851036,0,1.9235398878116,26
116,195,06,27.5099993851036,0,2.91547594742265,43
3271,195,18,27.4499993864447,0,5.71401954669416,22
3271,195,12,27.4499993864447,0,1.9235398878116,26
3271,195,06,27.4499993864447,0,2.91547594742265,43
1823,195,18,27.289999390021,0,5.71401954669416,22
1823,195,12,27.289999390021,0,1.9235398878116,26
1823,195,06,27.289999390021,0,2.91547594742265,43
2187,195,18,27.289999390021,0,5.71401954669416,22
2187,195,12,27.289999390021,0,1.9235398878116,26
2187,195,06,27.289999390021,0,2.91547594742265,43
10106,195,18,26.8199994005263,0,5.29244883773119,22
10106,195,12,26.8199994005263,0,3.7855001122708,26
10106,195,06,26.8199994005263,0,5.28015151297764,43
10486,195,18,26.8199994005263,0,5.29244883773119,22
10486,195,12,26.8199994005263,0,3.7855001122708,26
10486,195,06,26.8199994005263,0,5.28015151297764,43
10626,195,18,26.8199994005263,0,5.29244883773119,22
10626,195,12,26.8199994005263,0,3.7855001122708,26
10626,195,06,26.8199994005263,0,5.28015151297764,43
14497,195,18,27.2799993902445,0,5.29244883773119,22
14497,195,12,27.2799993902445,0,3.7855001122708,26
14497,195,06,27.2799993902445,0,5.28015151297764,43
12,195,18,27.5099993851036,0,5.71401954669416,22
12,195,12,27.5099993851036,0,1.9235398878116,26
12,195,06,27.5099993851036,0,2.91547594742265,43
12473,195,18,27.289999390021,0,5.29244883773119,22
12473,195,12,27.289999390021,0,3.7855001122708,26
12473,195,06,27.289999390021,0,5.28015151297764,43
12446,195,18,27.289999390021,0,5.29244883773119,22
